# Original source data from: https://www.kaggle.com/datasets/maryanalyze/tables-on-transistor-count-wikipedia-page/data
Name,Transistor Count,Year,Manufacturer,Process,Area,Source File
"Alpha 21164PC PCA57 (64-bit, 48 kB cache)",5700000,1998,Samsung,280 nm,100.5 mm2,Transistor_count_2.csv
Alpha 21264 EV6 (64-bit),15200000,1998,DEC,350 nm,313.96 mm2,Transistor_count_2.csv
"Pentium II Deschutes (32-bit, large cache)",7500000,1998,Intel,250 nm,113 mm2,Transistor_count_2.csv
?,4294967296,1998,Hyundai,?,?,Transistor_count_5.csv
"AMD K7 (32-bit, caches)",22000000,1999,AMD,250 nm,184 mm2,Transistor_count_2.csv
?,268435456,1999,"Hitachi, Toshiba",250 nm,?,Transistor_count_6.csv
"AMD K6-III (32-bit, caches)",21300000,1999,AMD,250 nm,118 mm2,Transistor_count_2.csv
Rage 128,8000000,1999,ATI,250 nm,70 mm2,Transistor_count_3.csv
Voodoo 3,8100000,1999,3dfx,250 nm,?,Transistor_count_3.csv
Graphics Synthesizer,43000000,1999,"Sony, Toshiba",180 nm,279 mm2,Transistor_count_3.csv
NV5,15000000,1999,Nvidia,250 nm,90 mm2,Transistor_count_3.csv
NV10,17000000,1999,Nvidia,220 nm,111 mm2,Transistor_count_3.csv
"Pentium II Mobile Dixon (32-bit, caches)",27400000,1999,Intel,180 nm,180 mm2,Transistor_count_2.csv
"ARM 9TDMI (32-bit, no cache)",111000,1999,Acorn,350 nm,4.8 mm2,Transistor_count_2.csv
PowerVR2 PMX1,6000000,1999,VideoLogic,250 nm,?,Transistor_count_3.csv
"Emotion Engine (64-bit, 128-bit SIMD, cache)",13500000,1999,Sony/Toshiba,180 nm,240 mm2,Transistor_count_2.csv
"Pentium III Katmai (32-bit, 128-bit SIMD, caches)",9500000,1999,Intel,250 nm,128 mm2,Transistor_count_2.csv
?,536870912,2000,Toshiba,?,?,Transistor_count_6.csv
R100,30000000,2000,ATI,180 nm,97 mm2,Transistor_count_3.csv
Voodoo 5,28000000,2000,3dfx,220 nm,?,Transistor_count_3.csv
Voodoo 4,14000000,2000,3dfx,220 nm,?,Transistor_count_3.csv
NV11,20000000,2000,Nvidia,180 nm,65 mm2,Transistor_count_3.csv
,350000000,2000,Xilinx,130 nm,,Transistor_count_4.csv
NV15,25000000,2000,Nvidia,180 nm,81 mm2,Transistor_count_3.csv
Flipper,51000000,2000,ArtX,180 nm,106 mm2,Transistor_count_3.csv
"Gekko (32-bit, large cache)",21000000,2000,IBM/Nintendo,180 nm,43 mm2,Transistor_count_2.csv
"Pentium III Coppermine (32-bit, large cache)",21000000,2000,Intel,180 nm,80 mm2,Transistor_count_2.csv
"Pentium 4 Willamette (32-bit, large cache)",42000000,2000,Intel,180 nm,217 mm2,Transistor_count_2.csv
PowerVR3 KYRO,14000000,2001,Imagination,250 nm,?,Transistor_count_3.csv
PowerVR3 KYRO II,15000000,2001,Imagination,180 nm,?,Transistor_count_3.csv
R200,60000000,2001,ATI,150 nm,68 mm2,Transistor_count_3.csv
?,536870912,2001,Samsung,?,?,Transistor_count_6.csv
NV2A,60000000,2001,Nvidia,150 nm,?,Transistor_count_3.csv
NV20,57000000,2001,Nvidia,150 nm,128 mm2,Transistor_count_3.csv
"SPARC64 V (64-bit, large cache)",191000000,2001,Fujitsu,130 nm,290 mm2,Transistor_count_2.csv
"Pentium III Tualatin (32-bit, large cache)",45000000,2001,Intel,130 nm,81 mm2,Transistor_count_2.csv
?,2147483648,2002,"Samsung, Toshiba",?,?,Transistor_count_6.csv
NV25,63000000,2002,Nvidia,150 nm,142 mm2,Transistor_count_3.csv
NV28,36000000,2002,Nvidia,150 nm,101 mm2,Transistor_count_3.csv
NV17/18,29000000,2002,Nvidia,150 nm,65 mm2,Transistor_count_3.csv
,430000000,2002,Xilinx,,,Transistor_count_4.csv
"Pentium 4 Northwood (32-bit, large cache)",55000000,2002,Intel,130 nm,145 mm2,Transistor_count_2.csv
"Itanium 2 McKinley (64-bit, large cache)",220000000,2002,Intel,180 nm,421 mm2,Transistor_count_2.csv
R300,107000000,2002,ATI,150 nm,218 mm2,Transistor_count_3.csv
NV31,80000000,2003,Nvidia,130 nm,121 mm2,Transistor_count_3.csv
NV30,125000000,2003,Nvidia,130 nm,199 mm2,Transistor_count_3.csv
"Barton (32-bit, large cache)",54300000,2003,AMD,130 nm,101 mm2,Transistor_count_2.csv
R360,117000000,2003,ATI,150 nm,218 mm2,Transistor_count_3.csv
NV35/38,135000000,2003,Nvidia,130 nm,207 mm2,Transistor_count_3.csv
NV34,45000000,2003,Nvidia,150 nm,124 mm2,Transistor_count_3.csv
"DEC Alpha 21364 (64-bit, 946-pin, SIMD, very large caches)",152000000,2003,DEC,180 nm,397 mm2,Transistor_count_2.csv
NV36,82000000,2003,Nvidia,130 nm,133 mm2,Transistor_count_3.csv
"AMD K8 (64-bit, large cache)",105900000,2003,AMD,130 nm,193 mm2,Transistor_count_2.csv
Pentium M Banias (32-bit),77000000,2003,Intel,130 nm,83 mm2,Transistor_count_2.csv
Itanium 2 Madison 6M (64-bit),410000000,2003,Intel,130 nm,374 mm2,Transistor_count_2.csv
R480,160000000,2004,ATI,130 nm,297 mm2,Transistor_count_3.csv
NV44,75000000,2004,Nvidia,130 nm,110 mm2,Transistor_count_3.csv
NV34b,45000000,2004,Nvidia,140 nm,91 mm2,Transistor_count_3.csv
"Pentium 4 Prescott (32-bit, large cache)",112000000,2004,Intel,90 nm,110 mm2,Transistor_count_2.csv
Pentium M Dothan (32-bit),144000000,2004,Intel,90 nm,87 mm2,Transistor_count_2.csv
,1000000000,2004,Xilinx,90 nm,,Transistor_count_4.csv
?,8589934592,2004,Samsung,60 nm,?,Transistor_count_6.csv
NV40,222000000,2004,Nvidia,130 nm,305 mm2,Transistor_count_3.csv
Itanium 2 (64-bit;9 MB cache),592000000,2004,Intel,130 nm,432 mm2,Transistor_count_2.csv
"SPARC64 V+ (64-bit, large cache)",400000000,2004,Fujitsu,90 nm,294 mm2,Transistor_count_2.csv
RV515,107000000,2005,ATI,90 nm,100 mm2,Transistor_count_3.csv
R520,321000000,2005,ATI,90 nm,288 mm2,Transistor_count_3.csv
RSX Reality Synthesizer,300000000,2005,"Nvidia, Sony",90 nm,186 mm2,Transistor_count_3.csv
Xenos,232000000,2005,ATI,90 nm,182 mm2,Transistor_count_3.csv
NV43,146000000,2005,Nvidia,110 nm,154 mm2,Transistor_count_3.csv
NV41,222000000,2005,Nvidia,110 nm,225 mm2,Transistor_count_3.csv
RV530,157000000,2005,ATI,90 nm,150 mm2,Transistor_count_3.csv
NV42,198000000,2005,Nvidia,110 nm,222 mm2,Transistor_count_3.csv
G70,303000000,2005,Nvidia,110 nm,333 mm2,Transistor_count_3.csv
